state,county,tract,block group,NAME,Unemployed,Income,WhiteRace,BlackRace,IndianAlaskanRace,AsianRace,Population,MaleGender,FemaleGender,HighSchoolEducation,College_Less_1yrEducation,College_More_1YREducation,AssociateDegreeEducation,BachelorDegreeEducation,MasterDegreeEducation,ProfessionalDegreeEducation,DoctorateDegreeEducation
42,045,410400,1,"Block Group 1, Census Tract 4104, Delaware County, Pennsylvania",59,435,1295,40,0,287,1622,695,927,338,78,13,63,401,315,14,12
42,045,403702,1,"Block Group 1, Census Tract 4037.02, Delaware County, Pennsylvania",67,194,806,0,0,0,833,373,460,228,7,44,63,22,25,13,1
42,045,403300,3,"Block Group 3, Census Tract 4033, Delaware County, Pennsylvania",16,117,288,49,15,82,434,210,224,99,19,53,18,28,30,0,0
42,045,403300,2,"Block Group 2, Census Tract 4033, Delaware County, Pennsylvania",52,422,1165,593,0,0,1799,1008,791,266,62,232,12,196,43,0,0
42,045,403300,6,"Block Group 6, Census Tract 4033, Delaware County, Pennsylvania",0,243,847,0,0,0,847,341,506,280,77,16,85,91,17,0,0
42,045,403300,1,"Block Group 1, Census Tract 4033, Delaware County, Pennsylvania",0,112,594,82,0,0,676,303,373,246,50,19,11,150,0,0,0
42,045,403502,3,"Block Group 3, Census Tract 4035.02, Delaware County, Pennsylvania",0,253,1023,17,0,0,1045,433,612,291,39,138,58,39,43,9,0
42,045,403502,2,"Block Group 2, Census Tract 4035.02, Delaware County, Pennsylvania",9,278,605,342,0,13,1119,426,693,408,45,27,39,134,0,0,0
42,045,403601,3,"Block Group 3, Census Tract 4036.01, Delaware County, Pennsylvania",0,233,760,20,0,0,780,363,417,161,35,98,42,78,18,0,0
42,045,403601,1,"Block Group 1, Census Tract 4036.01, Delaware County, Pennsylvania",61,288,883,0,0,46,1099,590,509,274,50,65,78,133,28,0,82
42,045,403901,1,"Block Group 1, Census Tract 4039.01, Delaware County, Pennsylvania",80,586,1760,27,0,109,1984,937,1047,424,84,214,127,323,100,9,28
42,045,403901,2,"Block Group 2, Census Tract 4039.01, Delaware County, Pennsylvania",20,412,1423,0,0,0,1432,722,710,372,39,105,113,146,70,0,10
42,045,403902,2,"Block Group 2, Census Tract 4039.02, Delaware County, Pennsylvania",21,330,1098,0,7,0,1105,510,595,256,40,73,17,246,142,12,9
42,045,403902,1,"Block Group 1, Census Tract 4039.02, Delaware County, Pennsylvania",12,336,1075,46,0,0,1174,563,611,345,94,101,55,118,100,19,0
